x,y,z
319,157,1995
320,157,1989
319,158,1994
320,157,1982
320,157,1971
318,157,1982
318,158,1962
317,157,1956
319,157,1939
319,157,1933
319,155,1947
326,195,1370
326,195,1370
318,158,1937
318,158,1937
317,193,1512
316,195,1475
347,168,1766
347,168,1766
345,175,1771
345,175,1771
342,193,1792
342,194,1791
338,219,1860
343,222,1885
348,225,1915
348,225,1915
336,223,1849
336,223,1849
363,231,1975
363,231,1975
363,231,1975
363,231,1975
363,231,1975
363,231,1975
321,157,1958
341,226,1847
341,226,1847
318,158,1968
317,157,1956
318,156,1944
359,238,1932
359,238,1932
360,240,1915
360,240,1915
360,240,1915
360,240,1915
352,230,1827
352,230,1827
355,237,1786
358,238,1791
355,235,1818
355,235,1818
318,158,1906
318,158,1906
344,223,1858
344,223,1858
347,226,1846
343,221,1849
351,225,1852
346,224,1839
350,225,1840
354,238,1708
354,238,1708
358,236,1647
358,236,1647
352,224,1885
353,225,1909
358,237,2005
358,237,2005
357,234,1966
357,234,1966
354,224,1896
357,225,1868
357,225,1868
357,225,1868
357,225,1868
357,225,1868
357,225,1868
359,232,1848
359,232,1848
308,192,1596
308,192,1596
359,237,1929
358,239,2007
358,233,1964
358,233,1964
351,224,1898
351,224,1898
344,216,1843
344,216,1843
315,157,1871
314,156,1904
346,219,1830
349,223,1849
352,228,1846
343,237,1844
342,239,1846
318,171,1743
318,171,1743
313,262,1847
312,263,1854
308,191,1536
308,191,1536
309,292,1842
309,293,1843
328,156,2028
328,156,2028
324,159,1930
324,159,1930
332,291,1870
332,291,1870
308,193,1604
309,193,1610
344,262,1902
344,260,1909
354,237,1893
352,235,1897
348,224,1867
352,225,1872
303,194,1577
303,194,1577
357,237,1830
357,237,1830
336,217,1834
336,217,1834
358,237,1816
359,235,1808
358,238,1811
358,238,1811
325,157,1760
326,157,1747
309,139,1952
309,139,1952
355,236,1687
355,236,1687
354,223,1635
362,223,1804
362,223,1804
353,217,1669
353,217,1669
360,215,1713
360,215,1713
360,215,1713
360,215,1713
360,215,1713
360,215,1713
348,198,1827
348,198,1827
348,198,1827
348,198,1827
348,198,1827
348,198,1827
348,198,1827
347,196,1811
347,196,1811
356,201,1780
356,201,1780
356,201,1780
343,200,1806
343,200,1806
309,143,1962
309,143,1962
309,142,1957
309,142,1957
309,142,1970
309,142,1970
309,142,1977
309,142,1977
309,142,1970
309,142,1970
310,218,1621
309,142,1977
309,142,1977
312,220,1599
316,224,1571
316,224,1571
359,216,1761
359,216,1761
359,216,1761
343,204,1822
343,204,1822
329,237,1702
329,237,1702
355,253,1613
355,253,1613
327,262,1697
328,263,1705
358,263,1290
358,263,1290
331,262,1724
361,225,1826
361,225,1826
361,225,1826
361,225,1826
357,240,1938
357,240,1938
331,262,1727
331,262,1724
357,236,1866
357,236,1866
331,263,1727
314,145,1473
314,145,1473
346,202,1839
346,202,1839
323,157,1404
362,223,1859
331,262,1727
331,262,1727
323,158,1396
365,217,1811
365,217,1811
365,217,1811
365,217,1811
365,217,1811
365,217,1811
365,217,1811
365,217,1811
357,259,1175
357,259,1175
321,153,1381
321,153,1381
355,236,1481
355,236,1481
311,140,1451
311,140,1451
355,236,1481
355,236,1481
355,236,1481
355,236,1481
355,236,1481
